"Lon","Lat","Area_km2","Eastings","Northings","Depth_m","REP_AREA","STRATUM","LOG10_DEPTH_M","LOG10_DEPTH_M_CEN"
-139.77733,59.8079627,13.71291499,789161.797788977,1175643.77829256,38.6919937133789,"650",51,1.58762110853775,-1.92863743161154
-139.71261,59.8009075,13.719616,792865.848239813,1175643.78541403,54.5700492858887,"650",51,1.73695434602393,-1.38617743633916
-139.64792,59.7938208,13.719616,796569.763906979,1175643.76806745,26.7990493774414,"650",51,1.42811938889991,-2.50803491563571
-146.30997,60.3143951,13.719616,422465.840599096,1171939.78368099,16.0996646881104,"640",42,1.20681683096229,-3.31192684588141
-146.24316,60.3105522,13.719616,426169.623172579,1171939.75455301,23.2630958557129,"640",42,1.36666751020262,-2.73126174972012
-146.17636,60.3066763,13.719616,429873.72016079,1171939.77240141,32.9886741638184,"640",42,1.51836486131957,-2.18021400070612
-146.10958,60.3027672,13.719616,433577.594512885,1171939.75023898,39.8850898742676,"640",42,1.60081057499711,-1.88072607554887
-146.04281,60.2988251,13.719616,437281.797737351,1171939.77498179,45.1431694030762,"640",42,1.65459204667676,-1.68536235502561
-145.97606,60.29485,13.719616,440985.79012406,1171939.78077366,48.1520042419434,"640",42,1.68261436857584,-1.58356995528406
-145.90933,60.2908418,13.719616,444689.580228748,1171939.7554042,47.8278427124023,"640",42,1.67968079234533,-1.59422630865133
-145.84261,60.2868005,13.719616,448393.722188113,1171939.76530414,33.6942672729492,"640",42,1.52755601649419,-2.14682669807675
-145.77591,60.2827263,13.719616,452097.673550448,1171939.76519878,39.6194076538086,"640",42,1.59790797815343,-1.89126989483927
-145.70922,60.278619,13.719616,455801.991162636,1171939.8004673,34.6884918212891,"640",42,1.5401854180914,-2.10094980391682
-145.64256,60.2744787,13.719616,459505.587013247,1171939.74446251,26.2014598846436,"640",42,1.41832548987629,-2.54361171359098
-145.57591,60.2703055,13.719616,463209.560684907,1171939.74508297,18.8254127502441,"640",42,1.27474450695446,-3.06517637413207
-145.50927,60.2660993,13.719616,466913.920742193,1171939.79190208,12.8428783416748,"640",42,1.1086623685783,-3.66847753812574
-145.44266,60.2618601,13.719616,470617.580531471,1171939.74387931,13.0777139663696,"640",42,1.11653183431243,-3.63989133443262
-145.37606,60.257588,12.07622631,474321.639589376,1171939.75230821,13,"640",42,1.11394335230684,-3.64929411682825
-142.92521,60.0764843,11.99534937,611369.895594928,1171939.79032762,13,"640",42,1.11394335230684,-3.64929411682825
-142.85936,60.0709706,13.719616,615073.95904081,1171939.80207985,30.6666526794434,"640",42,1.48666637454192,-2.29536024193816
-142.79354,60.0654245,13.719616,618777.591121812,1171939.73825143,36.7448654174805,"640",42,1.56519666106244,-2.01009528972947
-142.72773,60.0598461,13.719616,622481.890543768,1171939.79533465,41.5651588439941,"640",42,1.61872944452607,-1.815634940825
-142.66195,60.0542353,13.719616,626185.772120918,1171939.7750927,36.818042755127,"640",42,1.56606069771386,-2.00695663603299
-142.59619,60.0485921,13.719616,629889.789526932,1171939.77041109,32.0078239440918,"640",42,1.50525614958315,-2.22783201144685
-142.53045,60.0429167,13.719616,633593.945675674,1171939.80305197,37.1330490112305,"640",42,1.56976061080405,-1.99351652804901
-142.46474,60.0372089,13.719616,637297.704208853,1171939.7547544,39.6785163879395,"640",42,1.59855542516115,-1.88891801319081
-142.39905,60.0314689,13.719616,641001.614896661,1171939.74215204,38.5664329528809,"640",42,1.58620947240196,-1.93376526614078
-142.33338,60.0256966,13.719616,644705.686369736,1171939.75399764,40.5447006225586,"640",42,1.60793409798536,-1.85484954389673
-142.26773,60.0198921,13.719616,648409.923365953,1171939.80108661,27.4933967590332,"640",42,1.43922839944958,-2.46768091332722
-142.20211,60.0140553,13.719616,652113.787616158,1171939.77401381,24,"640",42,1.38021124171161,-2.68206350923452
-142.13651,60.0081863,13.719616,655817.830736223,1171939.78068055,18,"640",42,1.25527250510331,-3.13590933492451
-142.07093,60.0022851,13.719616,659522.059380396,1171939.82091443,13,"640",42,1.11394335230684,-3.64929411682825
-141.54718,59.9539186,13.22835432,689154.018647325,1171939.82430297,65.1899642944336,"640",43,1.81418074317035,-1.10564892349001
-141.48182,59.9477284,13.719616,692858.010874374,1171939.82251147,61.6304092407227,"640",43,1.78979505155994,-1.19423109299478
-141.41649,59.9415061,13.6905033,696561.705670215,1171939.75502626,27.319751739502,"640",42,1.43647674849946,-2.47767641457343
-139.85608,59.7826131,13.719616,785457.901717695,1171939.79995398,41.3418006896973,"650",51,1.6163893888991,-1.82413530273848
-139.7914,59.7755963,13.719616,789161.548701622,1171939.7274153,56.2225227355957,"650",51,1.7499103287415,-1.33911422092892
-139.72674,59.7685479,13.719616,792865.600148678,1171939.735192,82.3012466430664,"650",51,1.91540641365825,-0.737941923637474
-139.6621,59.761468,13.719616,796570.059906254,1171939.83455153,134.906860351562,"650",152,2.13003403519504,0.0417029867927447
-139.5975,59.7543566,13.46457192,800273.840357835,1171939.7848392,95.460823059082,"650",51,1.97982517451458,-0.503937750836951
-146.45128,60.2890773,12.47307421,415057.660610844,1168235.7552194,12,"640",42,1.07918124604762,-3.7755690996416
-146.3845,60.2853045,13.719616,418761.725097919,1168235.77103625,26.578649520874,"640",42,1.42453291037148,-2.52106296724919
-146.31774,60.2814985,13.719616,422465.542787475,1168235.74498327,35.2218971252441,"640",42,1.54681274427282,-2.07687573045828
-146.25099,60.2776595,13.719616,426169.665823938,1168235.76225277,49.5721664428711,"640",42,1.69523789920825,-1.53771438767935
-146.18426,60.2737874,13.719616,429873.555261291,1168235.74749664,58.8743553161621,"640",43,1.76992616456725,-1.26640575769472
-146.11754,60.2698823,13.719616,433577.764482407,1168235.77594384,71.2385025024414,"640",43,1.85271478162554,-0.965672219910109
-146.05084,60.2659441,13.719616,437281.754555761,1168235.77116914,76.5356292724609,"640",43,1.88386365729989,-0.85252246681105
-145.98416,60.2619729,13.719616,440985.53136559,1168235.74314758,78.4332504272461,"640",43,1.89450021339548,-0.813884677485271
-145.91749,60.2579687,13.719616,444689.649573789,1168235.75772534,90.0687942504883,"640",43,1.95457434888937,-0.595662560262197
-145.85084,60.2539315,13.719616,448393.568901361,1168235.7479615,88.7024307250977,"640",43,1.94793552102713,-0.619778414116207
-145.7842,60.2498613,13.719616,452097.844002139,1168235.78085326,78.807991027832,"640",43,1.89657025661819,-0.806365148305376
-145.71758,60.2457581,13.719616,455801.934589014,1168235.78837964,69.1623306274414,"640",43,1.83986961967393,-1.01233287368579
