"Lon","Lat","DEPTH_EFH"
-139.6117185,59.72200876,37
-146.9263032,60.28163,40
-146.8594863,60.27809255,346
-146.7926839,60.27452198,246
-146.7258962,60.27091828,202
-146.5256221,60.25990862,43
-146.4588942,60.25617257,62
-146.3921816,60.25240346,79
-146.3254844,60.2486013,88
-146.2588027,60.24476611,104
-146.1921368,60.24089788,108
-146.1254866,60.23699665,119
-146.0588524,60.2330624,117
-145.9922342,60.22909517,123
-145.9256323,60.22509496,130
-145.8590466,60.22106178,133
-145.7924774,60.21699564,129
-145.7259248,60.21289656,124
-145.6593888,60.20876455,115
-145.5928697,60.20459962,100
-145.5263676,60.20040178,83
-145.4598825,60.19617105,71
-145.3934147,60.19190744,63
-145.3269641,60.18761096,56
-145.2605311,60.18328162,49
-145.1941156,60.17891944,46
-145.1277178,60.17452443,43
-145.0613379,60.1700966,44
-144.994976,60.16563597,48
-144.9286321,60.16114255,50
-144.8623065,60.15661635,54
-144.7959991,60.15205739,54
-144.7297103,60.14746567,48
-144.66344,60.14284122,44
-144.5971885,60.13818405,41
-144.5309558,60.13349417,34
-143.4080005,60.04877541,52
-143.3421278,60.04349921,44
-143.2762762,60.03819059,48
-143.2104459,60.03284954,42
-143.1446369,60.0274761,75
-143.0788495,60.02207027,116
-143.0130837,60.01663208,124
-142.9473396,60.01116153,125
-142.8816174,60.00565864,119
-142.8159172,60.00012343,123
-142.750239,59.99455592,114
-142.6845831,59.98895612,109
-142.6189495,59.98332404,108
-142.5533383,59.97765971,108
-142.4877497,59.97196314,105
-142.4221838,59.96623435,94
-142.3566407,59.96047334,90
-142.2911205,59.95468015,85
-142.2256233,59.94885479,79
-142.1601492,59.94299726,71
-142.0946984,59.9371076,70
-142.029271,59.93118582,60
-141.9638671,59.92523192,50
-141.8984867,59.91924594,44
-141.8331301,59.91322789,47
-141.7677973,59.90717778,37
-141.7024884,59.90109564,33
-141.6372036,59.89498148,38
-141.5719429,59.88883531,54
-141.5067066,59.88265716,55
-140.0778729,59.73868218,38
-140.0132253,59.7317734,96
-139.9486047,59.72483307,115
-139.884011,59.71786123,97
-139.8194444,59.71085788,79
-139.7549051,59.70382305,123
-139.6903931,59.69675676,43
-139.6259085,59.68965903,158
-139.5614514,59.68252987,217
-146.9334408,60.24869918,313
-146.8666903,60.24516527,281
-146.7999542,60.24159826,227
-146.7332327,60.23799816,217
-146.666526,60.234365,39
-146.5998341,60.23069877,44
-146.5331573,60.22699948,109
-146.4664955,60.22326716,135
-146.399849,60.21950181,140
-146.3332178,60.21570344,126
-146.2666021,60.21187207,126
-146.2000021,60.2080077,123
-146.1334178,60.20411035,127
-146.0668494,60.20018002,117
-146.0002971,60.19621674,124
-145.9337608,60.19222051,129
-145.8672409,60.18819134,129
-145.8007373,60.18412925,135
-145.7342503,60.18003424,138
-145.6677799,60.17590634,133
-145.6013263,60.17174555,127
-145.5348896,60.16755188,114
-145.4684699,60.16332535,100
-145.4020674,60.15906597,91
-145.3356821,60.15477375,82
-145.2693143,60.15044871,73
-145.202964,60.14609086,69
-145.1366314,60.14170021,67
-145.0703166,60.13727677,68
-145.0040196,60.13282056,72
-144.9377407,60.12833159,77
-144.87148,60.12380987,82
-144.8052375,60.11925542,87
-144.7390135,60.11466826,104
-144.672808,60.11004838,117
-144.6066211,60.10539581,72
-144.5404531,60.10071057,46
-143.6161406,60.03169379,102
-143.550269,60.02652007,106
-143.484418,60.02131391,130
-143.4185879,60.01607531,79
-143.3527787,60.0108043,107
-143.2869906,60.00550089,105
-143.2212238,60.00016509,101
-143.1554782,59.99479692,118
-143.0897541,59.98939639,141
-143.0240516,59.98396353,145
-142.9583707,59.97849834,144
-142.8927116,59.97300085,136
-142.8270744,59.96747106,144
-142.7614593,59.961909,139
-142.6958663,59.95631468,138
-142.6302956,59.95068812,130
-142.5647472,59.94502932,131
-142.4992214,59.93933832,119
-142.4337181,59.93361513,106
-142.3682376,59.92785975,99
-142.3027799,59.92207222,96
-142.2373452,59.91625254,91
-142.1719336,59.91040073,86
-142.1065451,59.90451681,74
-142.04118,59.89860079,70
-141.9758382,59.8926527,61
-141.91052,59.88667255,57
-141.8452255,59.88066036,53
-141.7799546,59.87461614,36
-141.7147077,59.86853991,37
-141.6494847,59.86243169,34
-141.5842859,59.8562915,42
-141.5191112,59.85011935,32
-141.4539609,59.84391526,39
-141.388835,59.83767925,69
-141.3237336,59.83141134,115
-141.2586569,59.82511154,132
