"STRATUM","DEPTH_M","X","Y","LON","LAT","AREA_KM2"
211,546.710266113281,-610.295661306504,5946.91079090267,-169.427010254737,52.5249224830154,12.4089768248071
211,655.962097167969,-605.07538149858,5948.4455326274,-169.375094290604,52.5456073436742,1.72704970147383
211,616.707641601562,-602.550282205118,5947.44436872772,-169.320609750667,52.5456634766829,7.29833146879143
211,664.545837402344,-600.796757790903,5948.52072228435,-169.295624465771,52.55677105,0.345269067361075
211,493.793182373047,-594.666277201641,5948.03068077579,-169.206667214698,52.5637512179814,3.86269927335072
211,583.028442382812,-592.543418480338,5947.84332605164,-169.177442371053,52.5658155144852,4.55036522554886
211,638.2900390625,-575.299600580326,5948.46054934219,-168.936508194036,52.6063193355543,0.612871911597922
211,637.835388183594,-574.036587525455,5948.36745946338,-168.911823761965,52.6084557844496,2.98922960836816
211,684.897521972656,-571.073224565279,5948.62922612378,-168.868682126708,52.6170477746165,0.502205945976511
113,215.881622314453,-649.679338419541,5950.24925332598,-169.992668377582,52.4730098986605,3.49018630996754
113,221.383239746094,-647.263643430817,5950.88835068239,-169.960227231561,52.4803986440334,13.2962572045975
113,205.594116210938,-643.559643430817,5950.88835068239,-169.908049483918,52.4880923034284,13.298998273757
113,223.730102539062,-639.855643430817,5950.88835068239,-169.85584817802,52.4957637203546,13.3017312271843
211,252.8359375,-636.151643430817,5950.88835068239,-169.803623367961,52.503412871013,13.3044560578709
113,210.325805664062,-632.447643430817,5950.88835068239,-169.751375108013,52.5110397316544,13.3071727587843
113,193.587814331055,-628.743643430817,5950.88835068239,-169.699103452639,52.5186442785795,13.3098813229856
113,194.087341308594,-625.039643430817,5950.88835068239,-169.646808456481,52.5262264881389,13.3125817435036
113,207.522811889648,-621.335643430817,5950.88835068239,-169.594490174368,52.5337863367338,13.3152740134048
211,313.451477050781,-617.631643430817,5950.88835068239,-169.542148661312,52.5413238008158,13.3179581257477
211,339.643341064453,-613.927643430817,5950.88835068239,-169.48978397251,52.5488388568876,13.3206340736933
211,432.882507324219,-610.223643430817,5950.88835068239,-169.437396163341,52.5563314815025,13.3233018502989
211,365.315093994141,-606.519643430817,5950.88835068239,-169.384985289369,52.5638016512655,13.3259614487247
211,295.578460693359,-602.815643430817,5950.88835068239,-169.33255140634,52.5712493428326,13.3286128621397
211,339.363891601562,-599.111643430817,5951.80765306934,-169.283792433568,52.5810889373151,10.6671492598144
211,578.99365234375,-594.262574852128,5950.92609835604,-169.221682019659,52.5896916036587,6.93827807189718
211,380.255950927734,-591.703643430817,5951.26176414111,-169.176772506721,52.5944096901243,12.2990379900103
211,504.853210449219,-588.16510629147,5951.16916115564,-169.127410797693,52.60539976476,8.74714009635103
211,497.132904052734,-584.295643430817,5952.13993937022,-169.073043456608,52.617367964848,5.52053730164346
211,605.629211425781,-580.76831940737,5951.14415416424,-169.019478513929,52.6191335684749,9.34602567803887
211,479.4248046875,-576.714505815102,5950.68915048243,-168.962769964,52.6259599002854,10.5041012739515
